gps_point;street;postal_code
43.674670641,3.53273858;Rue des Treilles;34150
43.379729229,3.263406087;3 BIS ROUTE DE BEDARIEUX;34760
43.847688303,4.028462931;Chemin De La Tuilerie;30260
43.652900646,3.936336459;Domaine du Mas du Pont;34920
42.644744561,2.588014418;AV MARECHAL JOFFRE;66130
42.696441301,2.898977872;38 Avenue de Grande Bretagne;66000
42.600462526,2.9714856210000002;Route de Saint Martin;66200
43.283738198,2.384290306;rte de Villegailhenc;11600
43.954893792,2.488295034;Route de Cadix;81340
43.33011498,2.6632184260000002;6 CHEMIN DES VIGNERONS;34210
44.260927999,4.586732869;28, Chemin de la Chartreuse;30130
43.226448341,2.831256142;DOMAINE DE FONTARECHE;11200
42.696441301,2.898977872;"Avenue Caustier
Grand saint Charles";66000
43.625626772,4.305879996;Chemin de la Churascaia;30600
48.904081231,2.3059669879999998;92-98 Boulevard Victor Hugo;92110
43.550734683,2.582555705;Route de Lacabarède;81260
42.533927805,2.709189335;"Mas Cané
11 La Calcine";66400
43.567190207,3.448321556;Rue Saint Gorges;34800
43.614726969,3.678978639;1025 chemin de l'ancienne voie férrée;34570
42.96127233,2.871147707;7 Avenue des Corbieres;11360
43.710446561,3.898270391;285 AV DE STE CRX DE QUINTILLARGUES;34820
43.350887678,2.980628899;3, RUE DU MOULIN A VENT;34310
43.69741404,2.688445658;Chemin de Granisse;81230
43.566769432,3.5053351150000003;Avenue Notre Dame de Rouviège;34230
44.457980354,1.114471886;le bourg;46700
42.813576204,2.719362559;44-46 RUE GAMBETTA;66720
43.684740378,3.928709476;1 Rue Du Dévès;34820
43.966310484,4.080324453;Rue Des Vins;30350
43.615625896,2.238251917;73 rue Théron Perie;81100
44.853141035,1.892658111;Avenue Anatole de Monzie;46400
42.6327704,2.826257004;3 Avenue de Pollestres;66300
43.33011498,2.6632184260000002;"CLOS CENTEILLES
CHEMIN DE CENTEILLES";34210
43.43775813,3.258448497;15 rue de l'espital;34290
43.569003479,4.076304328;"Centre commercial le miramar 
Avenue Robert fages";34280
43.200073763,2.8162759900000003;Sarl Gualco  Chateau Etang Des Colombes L Etang;11200
43.051882103,2.906373918;1 AVENUE DES CORBIERES;11490
44.184549807,1.87487855;"lieu dit le bouis
82330
VERFEIL/SEYE";82330
43.977704279,4.334601811;Cave Cooperative;30190
43.360468419,3.547235186;16 rue de la louisiane;34340
44.21123208,1.9635980499999999;4 RUE DE LA PIQUE;12270
42.696441301,2.898977872;299 RUE ETTORE BUGATTI;66000
44.681559143,3.829626191;le village;48300
42.778933018000004,2.8768525250000003;29 avenue du stade;66600
43.329764253,2.871298132;La Lécugne;11120
42.622816853,2.951781414;10 Rue Des Ecoles;66200
43.408873554,2.54886106;3 Hameau Du Sahuc;11160
43.68682806,3.842969964;25 rue du Four;34980
43.251276026,2.924305448;18 rue de la liberte;11120
43.792641453,3.707968331;"ZAE Les Hautes Garrigues 
Route De Frouzet";34380
43.245738053,2.77094126;32 AVENUE DES PLATANES;11200
43.954044552,1.892092033;Gayssou;81600
43.321894366,3.048051142;DOMAINE DE CIBADIES;34310
43.22289222,2.708283443;Lieu dit La Bastide;11200
42.90627739,2.727780393;2, rue de la cave coopérative;11350
44.227750547,4.174661396;"251 chemin du pigeonnier
mas salles";30960
44.644583955,3.049019639;Place du Foirail;48260
43.457899324,3.135240891;Mas Maury;34490
43.877095689,4.554271156;"Hameau de Pazac
Route de Redessan";30840
44.195207001,4.579305349;Rue Du Pigeonnier;30200
43.051882103,2.906373918;3 chemin de moncal;11490
43.522315551,3.199781498;1750, chemin de Bédarieux;34480
43.522315551,3.199781498;25, Avenue de la gare;34480
42.826524676,2.436329482;Avenue des Fenouillèdes;66220
43.165034031,3.020200005;94 AVENUE DE GRUISSAN;11100
43.85865859,4.120630214;LD Belle Garde;30250
43.82885322,1.496499902;20 HAMEAU DE RAYGADES;31340
43.5212768,0.15632982;5 rue du Putnau;32230
43.258164596,3.227078708;"Avenue de la Méditerranée
CS 10715";34350
42.962204778,2.218972835;11 route de Couiza;11190
43.123521232,1.615608034;Lieu-dit Martel n°4;09100
42.705317875,2.764567484;MAS DE BLANES;66370
43.673995909,3.478702552;653 route de St André;34725
42.997691243,2.812591497;37 avenue de Narbonne;11360
43.347466978,3.230859725;14 route de Capestang;34500
43.088551493,0.7015595840000001;21 CHEMIN DE PROUZIC;31800
43.043955601,1.114411835;ALLEE DU CAMP DE BONIN;09190
43.179033117,2.484793831;"RN 113
N°2 la Prade";11800
43.673995909,3.478702552;7 ROUTE DE ST ANDRE;34725
43.413368386,3.157422489;"Domaine des 4 Rodes
Les Vignals";34490
