product_id;category_id
8648;8
8991;8
6893;8
3;8
11727;8
1097;8
1100;8
8825;8
6898;8
6908;8
6910;8
6914;8
8637;8
3746;8
8824;8
11726;8
3428;8
8822;8
1121;8
8820;8
76;8
1128;8
1129;8
8123;8
8126;8
11500;8
8127;8
7211;8
3734;8
3391;8
3732;8
11725;8
61;8
3730;8
5140;8
290;8
11496;8
11724;8
11494;8
6928;8
48;8
6215;8
7144;8
3717;8
60;8
58;8
6929;8
6931;8
7146;8
1167;8
1169;8
11780;8
50;8
49;8
1174;8
3365;8
8619;8
8618;8
8816;8
3364;8
6933;8
7151;8
11784;8
6934;8
6944;8
11472;8
7152;8
644;8
645;8
646;8
5492;8
9045;8
7153;8
9044;8
3348;8
7154;8
653;8
654;8
655;8
11453;8
656;8
3826;8
117;8
6953;8
2613;8
3346;8
11441;8
11440;8
6969;8
11437;8
3876;8
11435;8
6970;8
11623;8
6973;8
7779;8
8804;8
2942;8
3666;8
3340;8
3339;8
3338;8
3337;8
3664;8
11710;8
675;8
676;8
3336;8
3335;8
678;8
8931;8
3333;8
11390;8
11709;8
11374;8
11373;8
11706;8
6986;8
2604;8
6987;8
3842;8
506;8
3877;8
688;8
689;8
11348;8
11343;8
3299;8
7240;8
6248;8
10993;14
11005;14
319;11
320;11
7621;11
8444;11
11215;11
7709;11
8802;11
8601;11
3341;11
10385;11
11558;11
3665;11
6170;11
128;11
8600;11
325;11
7688;11
6360;11
8999;11
3551;11
957;11
958;11
7098;11
2865;11
961;11
3831;11
8998;11
3539;11
326;11
11545;11
66;11
3660;11
8997;11
3659;11
10321;11
2695;11
454;11
3658;11
10320;11
3888;11
10378;11
863;11
6151;11
3522;11
3521;11
3518;11
3657;11
8905;11
3655;11
11394;11
8878;11
753;11
754;11
3332;11
2883;11
11391;11
8918;11
3331;11
3650;11
8598;11
2293;11
8544;11
3624;11
8017;11
7629;11
758;11
89;11
8677;11
3830;11
5071;11
11529;11
6147;11
6992;11
8676;11
11602;11
5074;11
5070;11
8675;11
251;11
3649;11
8674;11
253;11
254;11
11053;11
2920;11
2919;11
524;11
3648;11
11363;11
10468;11
6993;11
2875;11
8860;11
7232;11
7233;11
5126;11
2600;11
8857;11
8663;11
8662;11
8197;11
8196;11
3305;11
593;11
11748;11
6156;11
8946;11
11347;11
11346;11
534;11
3623;11
11342;11
1049;11
6443;11
9003;11
8855;11
8854;11
7235;11
8945;11
6994;11
1057;11
1058;11
6995;11
3473;11
7196;11
7197;11
7198;11
7126;11
142;11
5105;11
8757;11
10360;11
8846;11
10529;11
11166;11
11165;11
6000;11
2878;11
11164;11
5068;11
11524;11
11523;11
11522;11
8845;11
2756;11
6211;11
824;11
6620;11
10528;11
149;11
908;11
10526;11
2827;11
11670;11
8841;11
829;11
6897;11
11320;11
8103;11
830;11
831;11
6212;11
17;11
832;11
3216;11
8913;11
6157;11
833;11
834;11
835;11
11629;11
191;11
8635;11
8897;11
2674;11
7972;11
7699;11
3427;11
3416;11
3415;11
2826;11
7704;11
3414;11
3413;11
7705;11
3412;11
8146;11
2918;11
3745;11
3613;11
11301;11
3645;11
6996;11
5075;11
6044;11
11504;11
3401;11
6997;11
6998;11
3744;11
6999;11
9002;11
7215;11
2729;11
7743;11
10458;11
10457;11
7171;11
8906;11
6046;11
1149;11
7710;11
7571;11
10455;11
7708;11
5086;11
11274;11
11273;11
11272;11
9046;11
9024;11
11271;11
11270;11
11269;11
6325;11
7962;11
11266;11
3387;11
7873;11
1168;11
7652;11
211;11
7104;11
3373;11
7059;11
5073;11
2895;11
11258;11
719;11
790;11
6036;11
7892;11
3835;11
6150;11
7899;11
11482;11
5097;11
641;11
3355;11
7846;11
6946;11
11476;11
11475;11
11474;11
11473;11
7274;11
10449;11
6947;11
643;11
728;11
11467;11
7114;11
730;11
731;11
647;11
7900;11
402;11
2879;11
10372;11
7531;11
7533;11
7534;11
10491;11
11604;11
9001;11
7095;11
11230;11
363;11
7901;11
75;11
11089;11
6958;11
7902;11
6959;11
741;11
3180;11
5072;11
7903;11
7742;11
7613;11
7535;11
10379;11
8707;11
3815;11
8703;11
317;11
318;11
3165;5
11061;5
11060;5
7277;5
413;5
414;5
11051;5
3161;5
6082;5
3158;5
3156;5
3155;5
3154;5
11044;5
11043;5
11042;5
1549;5
11041;5
7279;5
7283;5
11037;5
7285;5
11035;5
7287;5
7044;5
417;5
11004;5
6102;5
419;5
6110;5
10990;5
10989;5
7500;5
6126;5
7051;5
6129;5
10984;5
7511;5
7061;5
427;5
428;5
430;5
3108;5
7539;5
7542;5
7543;5
6130;5
10548;5
6131;5
6133;5
7064;5
10543;5
10527;5
10525;5
10519;5
10518;5
10517;5
7554;5
7561;5
7568;5
7578;5
7579;5
10499;5
438;5
7585;5
3061;5
7600;5
7073;5
3050;5
7614;5
7623;5
7625;5
10479;5
7627;5
7074;5
10474;5
10473;5
7630;5
7080;5
7650;5
7651;5
10463;5
10462;5
10459;5
10456;5
10454;5
10450;5
7093;5
7096;5
7097;5
451;5
6155;5
10431;5
21;5
10428;5
10426;5
10425;5
10424;5
10423;5
22;5
10420;5
7673;5
6163;5
10415;5
25;5
7689;5
7691;5
10404;5
10396;5
10390;5
10500;5
3881;5
10381;5
10380;5
10371;5
3880;5
10367;5
7737;5
2952;5
2953;5
2951;5
2950;5
3879;5
10343;5
2945;5
3878;5
10335;5
10334;5
10332;5
10331;5
10330;5
5112;5
10324;5
3874;5
2933;5
10238;5
2932;5
9991;5
2927;5
2926;5
2922;5
7111;5
9061;5
3866;5
3865;5
9058;5
9057;5
2913;5
2912;5
2910;5
9050;5
9049;5
9048;5
9047;5
9043;5
3864;5
3863;5
3862;5
9037;5
3860;5
9032;5
9031;5
9029;5
9028;5
2908;5
2906;5
9025;5
11669;5
9017;5
2903;5
7746;5
11668;5
11667;5
2901;5
2898;5
9000;5
11665;5
3853;5
8993;5
11663;5
11662;5
11661;5
8988;5
11660;5
7749;5
7115;5
3849;5
8975;5
3846;5
8973;5
8971;5
3844;5
8969;5
8968;5
8967;5
8966;5
8965;5
8964;5
7750;5
8961;5
7752;5
11772;5
2848;5
7756;5
7757;5
8952;5
498;5
3843;5
11654;5
2822;5
8939;5
501;5
502;5
2806;5
503;5
8935;5
